YEAR_MONTH,PCLF,UCLF,OCLF
201904,12.300000000000001,18.699999999999999,1.3
201905,9.4000000000000004,17.899999999999999,1.3
201906,5.5999999999999996,21.800000000000001,1.2
201907,5.5,21.699999999999999,1.3
201908,9.5,19.399999999999999,1.3999999999999999
201909,10.9,19.100000000000001,2
201910,8.4000000000000004,22.199999999999999,1.7
201911,10.300000000000001,22,1.8
201912,9.6999999999999993,27.899999999999999,2.2999999999999998
202001,8.0999999999999996,29.199999999999999,1.8999999999999999
202002,9.6999999999999993,26.899999999999999,1.1000000000000001
202003,9.9000000000000004,25.699999999999999,1.3
202004,15.5,17.699999999999999,2.2999999999999998
202005,6.5,18.300000000000001,4.5
202006,4.7000000000000002,19.199999999999999,4.0999999999999996
202007,7.4000000000000004,19.5,4.0999999999999996
202008,11.1,18.600000000000001,3.8999999999999999
202009,13.9,18.800000000000001,2
202010,13.699999999999999,19.899999999999999,1.7
202011,16.800000000000001,17.100000000000001,3.2000000000000002
202012,17.600000000000001,19.699999999999999,3.7999999999999998
202101,13.199999999999999,25.199999999999999,3.8999999999999999
202102,12.199999999999999,24.5,4.2999999999999998
202103,,,
